"8679181: 
Student Center Video
Watch the first video on Student Center here(Links to an external site.). This video will also be played in class. The video shows an interviewer asking a set of questions to an interviewee about the Student Center at Georgia Tech. After watching this, please answer the next 6 questions, reflecting on how much you agree or disagree with each statement about the interviewee.
",0,8679193: Student CenterVideo: The interviewee made sufficient eye contact,1,8679183: Student CenterVideo: The interviewee gave specific and detailed answers,1,8679185: Student CenterVideo: The interviewee's answers were relevant and non-contradictory,1,8679187: Student CenterVideo: The interviewee was engaged in the conversation,1,"8679189: Student CenterVideo: The interviewee had good pacing, with no awkward pauses",1,"8679191: 

Student CenterVideo: Did you notice anything out of place, odd, or distracting in the session?

",0,"8679301: 

CODA Video
Watch the first video on the CODA Building here(Links to an external site.). This video will also be played in class. The video shows an interviewer asking a set of questions to an interviewee about the CODA Building at Tech Square. After watching this, please answer the next 6 questions, reflecting on how much you agree or disagree with each statement about the interviewee.

",0,8679313: CODA Video: The interviewee made sufficient eye contact,1,8679303: CODA Video: The interviewee gave specific and detailed answers,1,8679305: CODA Video: The interviewee's answers were relevant and non-contradictory,1,8679307: CODA Video: The interviewee was engaged in the conversation,1,"8679309: CODA Video: The interviewee had good pacing, with no awkward pauses",1,"8679311: Student Center and CODA Videos: Did you notice anything out of place, odd, or distracting in either/both of the sessions?",0,n correct,n incorrect,score
,0,6. Agree,0,5. Somewhat Agree,0,6. Agree,0,6. Agree,0,6. Agree,0,Not really.,0,,0,2. Disagree,0,3. Somewhat Disagree,0,2. Disagree,0,2. Disagree,0,2. Disagree,0,He was awkwardly pausing and swiveling around in his chair.,0,4,10,0
,0,3. Somewhat Disagree,0,5. Somewhat Agree,0,2. Disagree,0,5. Somewhat Agree,0,2. Disagree,0,No i didn't notice anything.,0,,0,3. Somewhat Disagree,0,2. Disagree,0,3. Somewhat Disagree,0,5. Somewhat Agree,0,6. Agree,0,no i didn't notice anything out of place.,0,4,10,0
,0,2. Disagree,0,7. Strongly Agree,0,6. Agree,0,5. Somewhat Agree,0,6. Agree,0,"The speaker did much less eye contact but just constantlystared at the same direction as if he was thinking deeply, making me a bit distracted because that is not like a conversation",0,,0,2. Disagree,0,6. Agree,0,6. Agree,0,4. Neutral,0,6. Agree,0,,0,4,10,0
,0,5. Somewhat Agree,0,4. Neutral,0,3. Somewhat Disagree,0,5. Somewhat Agree,0,2. Disagree,0,At times it didn’t feel the interviewee was being very natural in speech.,0,,0,5. Somewhat Agree,0,5. Somewhat Agree,0,6. Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,nothing odd or distracting ,0,4,10,0
,0,6. Agree,0,6. Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,I haven't noticed anything too odd.,0,,0,5. Somewhat Agree,0,4. Neutral,0,4. Neutral,0,5. Somewhat Agree,0,5. Somewhat Agree,0,No,0,4,10,0
,0,6. Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,6. Agree,0,Nothing.,0,,0,3. Somewhat Disagree,0,6. Agree,0,7. Strongly Agree,0,4. Neutral,0,4. Neutral,0,"I found it a little difficult to follow in x1 speed, possibly because of the pauses. I felt that was more eye contact in the first video than in the second.",0,4,10,0
,0,5. Somewhat Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,,0,,0,4. Neutral,0,5. Somewhat Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,,0,4,10,0
,0,3. Somewhat Disagree,0,7. Strongly Agree,0,7. Strongly Agree,0,4. Neutral,0,5. Somewhat Agree,0,"It's not conversational, the content sounds like prepared script. ",0,,0,2. Disagree,0,6. Agree,0,6. Agree,0,3. Somewhat Disagree,0,4. Neutral,0,"He kept looking away, and his responses are shorter than the last one. Seems more conversational. ",0,4,10,0
,0,6. Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,No. The interviewee captured my attention continuously and was engaged in a good conversation.,0,,0,6. Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,"No, nothing was out of place or odd in either of the sessions about the CODA or student center",0,4,10,0
,0,6. Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,6. Agree,0,Not ver much. Sometimes there was an awkward moment after the answer was complete but before the next question; the interviewee sometime would smile a bit awkwardly and this would take my attention away from the topic of the student center and towards the level of awkwardness. ,0,,0,6. Agree,0,7. Strongly Agree,0,6. Agree,0,6. Agree,0,5. Somewhat Agree,0,"Sometimes the interviewee would stutter or say small phrases like ""hmm what else"" in the Coda video which was a little distracting from the topic and the flow of info. ",0,4,10,0
