,0,8574369: Eminent Domain Video: The interviewee made sufficient eye contact,1,8574371: Eminent Domain Video: The interviewee gave specific and detailed answers,1,8574373: Eminent Domain Video: The interviewee's answers were relevant and non-contradictory,1,8574375: Eminent Domain Video: The interviewee was engaged in the conversation,1,"8574381: Eminent Domain Video: The interviewee had good pacing, with no awkward pauses",1,"8574383: Eminent Domain Video: Did you notice anything out of place, odd, or distracting in the session?",1,,0,8574705: Free Speech Video: The interviewee made sufficient eye contact,1,8574707: Free Speech Video: The interviewee gave specific and detailed answers,1,8574713: Free Speech Video: The interviewee's answers were relevant and non-contradictory,1,8574715: Free Speech Video: The interviewee was engaged in the conversation,1,"8574717: Free Speech Video: The interviewee had good pacing, with no awkward pauses",1,"8574719: Free Speech and Eminent Domain Videos: Did you notice anything out of place, odd, or distracting in either/both of the sessions?",1,n correct,n incorrect,score,
,0,4. Neutral,0,4. Neutral,0,4. Neutral,0,4. Neutral,0,4. Neutral,0,Nope.,0,,0,4. Neutral,0,4. Neutral,0,4. Neutral,0,4. Neutral,0,4. Neutral,0,Nope.,0,4,10,0,
,0,6. Agree,0,6. Agree,0,5. Somewhat Agree,0,6. Agree,0,3. Somewhat Disagree,0,The interviewer just listed the questions and didn’t really have a “conversation” with the interviewee. ,0,,0,6. Agree,0,6. Agree,0,6. Agree,0,6. Agree,0,4. Neutral,0,I found it a little odd how the interviewer only asked the questions like a robot without interacting with the interviewee’s answers at all,0,4,10,0,
,0,4. Neutral,0,6. Agree,0,5. Somewhat Agree,0,4. Neutral,0,6. Agree,0,I didn't. I was focused on what the interviewee was saying.,0,,0,4. Neutral,0,6. Agree,0,6. Agree,0,4. Neutral,0,6. Agree,0,I didn't. I was focused on what the interviewee was saying.,0,4,10,0,
,0,5. Somewhat Agree,0,5. Somewhat Agree,0,3. Somewhat Disagree,0,5. Somewhat Agree,0,6. Agree,0,The background noise,0,,0,3. Somewhat Disagree,0,4. Neutral,0,5. Somewhat Agree,0,5. Somewhat Agree,0,3. Somewhat Disagree,0,The background noise,0,4,10,0,
,0,6. Agree,0,5. Somewhat Agree,0,5. Somewhat Agree,0,6. Agree,0,4. Neutral,0,"No, I did not notice anything out of place, odd, or distracting in the session.",0,,0,5. Somewhat Agree,0,6. Agree,0,5. Somewhat Agree,0,4. Neutral,0,7. Strongly Agree,0,"No, I did not notice anything out of place, odd, or distracting in the session.",0,4,10,0,
,0,5. Somewhat Agree,0,7. Strongly Agree,0,6. Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,I could not figure out if the interviewee was speaking to one interviewer or multiple interviewers because their eye gaze was not concentrated at one point but rather kept going here and there. ,0,,0,6. Agree,0,6. Agree,0,5. Somewhat Agree,0,4. Neutral,0,3. Somewhat Disagree,0,"The interviewee seemed slightly less engaged in conversation for this video, and had more pauses in between the last video. It also felt like the interviewee was hesitant to speak on this topic, and the eye contact kept reflected that as well. ",0,4,10,0,
,0,7. Strongly Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,6. Agree,0,6. Agree,0,"When the interviewer was asking the last question, they interviewee reacted inpatiently to the interviewer's pause and the question.",0,,0,5. Somewhat Agree,0,6. Agree,0,5. Somewhat Agree,0,6. Agree,0,3. Somewhat Disagree,0,The interviewee seems not sute and condident about his answer for the last question,0,4,10,0,
,0,6. Agree,0,6. Agree,0,6. Agree,0,7. Strongly Agree,0,5. Somewhat Agree,0,The quality of the video and audio was not the best and I had trouble hearing what he was saying at some points in the video. ,0,,0,4. Neutral,0,5. Somewhat Agree,0,4. Neutral,0,6. Agree,0,4. Neutral,0,The background was very distracting because there was a lot of stuff behind him and he was shifting around and moving a lot in the second video. ,0,4,10,0,
,0,6. Agree,0,5. Somewhat Agree,0,6. Agree,0,7. Strongly Agree,0,7. Strongly Agree,0,Not very much. Sometimes the interviewee would spin at an angle in his chair but it was minor.,0,,0,4. Neutral,0,3. Somewhat Disagree,0,3. Somewhat Disagree,0,5. Somewhat Agree,0,1. Strongly Disagree,1,"In the Free Speech video the speaker sometimes made sharp gestures that seemed out of place and would state content slowly and a bit confusingly. They also didn't seem to answer the final question completely and had awkward inserts like ""so yeah"" and ""um"". ",0,5,9,1,
,0,6. Agree,0,6. Agree,0,5. Somewhat Agree,0,6. Agree,0,6. Agree,0,No,0,,0,2. Disagree,0,4. Neutral,0,3. Somewhat Disagree,0,5. Somewhat Agree,0,2. Disagree,0,Yes,0,4,10,0,
